volume_id,volume_path,segmentation_path,pair_complete,ct_shape,seg_shape,shape_match,ct_axis_codes,seg_axis_codes,affine_match,ct_spacing,seg_spacing,slice_count
66,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-66.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-66.nii,True,"(512, 512, 86)","(512, 512, 86)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.7128909826278687, 0.7128909826278687, 5.0)","(0.7128909826278687, 0.7128909826278687, 5.0)",86
67,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-67.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-67.nii,True,"(512, 512, 165)","(512, 512, 165)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.7109379768371582, 0.7109379768371582, 2.5)","(0.7109379768371582, 0.7109379768371582, 2.5)",165
68,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-68.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-68.nii,True,"(512, 512, 266)","(512, 512, 266)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.6660159826278687, 0.6660159826278687, 2.49993896484375)","(0.6660159826278687, 0.6660159826278687, 2.49993896484375)",266
69,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-69.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-69.nii,True,"(512, 512, 245)","(512, 512, 245)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.75390625, 0.75390625, 2.0)","(0.75390625, 0.75390625, 2.0)",245
70,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-70.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-70.nii,True,"(512, 512, 333)","(512, 512, 333)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.5976560115814209, 0.5976560115814209, 1.25)","(0.5976560115814209, 0.5976560115814209, 1.25)",333
71,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-71.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-71.nii,True,"(512, 512, 94)","(512, 512, 94)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.556640625, 0.556640625, 5.0)","(0.556640625, 0.556640625, 5.0)",94
72,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-72.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-72.nii,True,"(512, 512, 93)","(512, 512, 93)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.6777340173721313, 0.6777340173721313, 2.5)","(0.6777340173721313, 0.6777340173721313, 2.5)",93
73,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-73.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-73.nii,True,"(512, 512, 121)","(512, 512, 121)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.951171875, 0.951171875, 4.0)","(0.951171875, 0.951171875, 4.0)",121
74,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-74.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-74.nii,True,"(512, 512, 107)","(512, 512, 107)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.8261719942092896, 0.8261719942092896, 5.0)","(0.8261719942092896, 0.8261719942092896, 5.0)",107
75,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-75.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-75.nii,True,"(512, 512, 89)","(512, 512, 89)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.7578125, 0.7578125, 5.0)","(0.7578125, 0.7578125, 5.0)",89
76,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-76.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-76.nii,True,"(512, 512, 168)","(512, 512, 168)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.7421879768371582, 0.7421879768371582, 2.5)","(0.7421879768371582, 0.7421879768371582, 2.5)",168
77,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-77.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-77.nii,True,"(512, 512, 94)","(512, 512, 94)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.781000018119812, 0.781000018119812, 5.0)","(0.781000018119812, 0.781000018119812, 5.0)",94
78,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-78.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-78.nii,True,"(512, 512, 198)","(512, 512, 198)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.7851560115814209, 0.7851560115814209, 2.5)","(0.7851560115814209, 0.7851560115814209, 2.5)",198
79,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-79.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-79.nii,True,"(512, 512, 147)","(512, 512, 147)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.796875, 0.796875, 3.0)","(0.796875, 0.796875, 3.0)",147
80,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-80.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-80.nii,True,"(512, 512, 217)","(512, 512, 217)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.68359375, 0.68359375, 2.0)","(0.68359375, 0.68359375, 2.0)",217
81,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-81.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-81.nii,True,"(512, 512, 343)","(512, 512, 343)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.703125, 0.703125, 1.25)","(0.703125, 0.703125, 1.25)",343
82,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-82.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-82.nii,True,"(512, 512, 519)","(512, 512, 519)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(0.625, 0.625, 0.8009999990463257)","(0.625, 0.625, 0.8009999990463257)",519
83,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-83.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-83.nii,True,"(512, 512, 871)","(512, 512, 871)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7421875, 0.7421875, 0.699999988079071)","(0.7421875, 0.7421875, 0.699999988079071)",871
84,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-84.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-84.nii,True,"(512, 512, 733)","(512, 512, 733)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7578125, 0.7578125, 0.699999988079071)","(0.7578125, 0.7578125, 0.699999988079071)",733
85,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-85.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-85.nii,True,"(512, 512, 630)","(512, 512, 630)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.64453125, 0.64453125, 0.7000000476837158)","(0.6445313096046448, 0.6445313096046448, 0.699999988079071)",630
86,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-86.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-86.nii,True,"(512, 512, 647)","(512, 512, 647)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.68359375, 0.68359375, 0.699999988079071)","(0.6835938096046448, 0.6835938096046448, 0.699999988079071)",647
87,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-87.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-87.nii,True,"(512, 512, 896)","(512, 512, 896)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.8539999723434448, 0.8539999723434448, 0.800000011920929)","(0.8539999723434448, 0.8539999723434448, 0.800000011920929)",896
88,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-88.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-88.nii,True,"(512, 512, 811)","(512, 512, 811)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7559999823570251, 0.7559999823570251, 0.800000011920929)","(0.7559999823570251, 0.7559999823570251, 0.800000011920929)",811
89,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-89.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-89.nii,True,"(512, 512, 766)","(512, 512, 766)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.6370000243186951, 0.6370000243186951, 0.800000011920929)","(0.6370000243186951, 0.6370000243186951, 0.800000011920929)",766
90,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-90.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-90.nii,True,"(512, 512, 751)","(512, 512, 751)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.781000018119812, 0.781000018119812, 0.800000011920929)","(0.781000018119812, 0.781000018119812, 0.800000011920929)",751
91,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-91.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-91.nii,True,"(512, 512, 751)","(512, 512, 751)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.8579999804496765, 0.8579999804496765, 0.800000011920929)","(0.8579999804496765, 0.8579999804496765, 0.800000011920929)",751
92,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-92.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-92.nii,True,"(512, 512, 836)","(512, 512, 836)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.6710000038146973, 0.6710000038146973, 0.800000011920929)","(0.6710000038146973, 0.6710000038146973, 0.800000011920929)",836
93,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-93.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-93.nii,True,"(512, 512, 696)","(512, 512, 696)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.6620000004768372, 0.6620000004768372, 0.800000011920929)","(0.6620000004768372, 0.6620000004768372, 0.800000011920929)",696
94,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-94.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-94.nii,True,"(512, 512, 917)","(512, 512, 917)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.837890625, 0.837890625, 0.699999988079071)","(0.837890625, 0.837890625, 0.699999988079071)",917
95,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-95.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-95.nii,True,"(512, 512, 841)","(512, 512, 841)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7379999756813049, 0.7379999756813049, 0.800000011920929)","(0.7379999756813049, 0.7379999756813049, 0.800000011920929)",841
96,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-96.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-96.nii,True,"(512, 512, 722)","(512, 512, 722)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.74609375, 0.74609375, 0.699999988079071)","(0.7460938096046448, 0.7460938096046448, 0.699999988079071)",722
97,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-97.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-97.nii,True,"(512, 512, 671)","(512, 512, 671)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.72265625, 0.72265625, 0.699999988079071)","(0.7226563096046448, 0.7226563096046448, 0.699999988079071)",671
98,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-98.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-98.nii,True,"(512, 512, 645)","(512, 512, 645)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.734375, 0.734375, 0.699999988079071)","(0.734375, 0.734375, 0.699999988079071)",645
99,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-99.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-99.nii,True,"(512, 512, 629)","(512, 512, 629)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.78125, 0.78125, 0.699984073638916)","(0.78125, 0.78125, 0.699984073638916)",629
100,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-100.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-100.nii,True,"(512, 512, 685)","(512, 512, 685)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.69921875, 0.69921875, 0.6999999284744263)","(0.6992188096046448, 0.6992188096046448, 0.6999999284744263)",685
101,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-101.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-101.nii,True,"(512, 512, 683)","(512, 512, 683)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.705078125, 0.705078125, 0.699999988079071)","(0.705078125, 0.705078125, 0.699999988079071)",683
102,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-102.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-102.nii,True,"(512, 512, 677)","(512, 512, 677)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.716796875, 0.716796875, 0.6999852061271667)","(0.716796875, 0.716796875, 0.6999852061271667)",677
103,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-103.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-103.nii,True,"(512, 512, 683)","(512, 512, 683)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.85546875, 0.85546875, 0.699999988079071)","(0.8554688096046448, 0.8554688096046448, 0.699999988079071)",683
104,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-104.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-104.nii,True,"(512, 512, 781)","(512, 512, 781)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.781000018119812, 0.781000018119812, 0.800000011920929)","(0.781000018119812, 0.781000018119812, 0.800000011920929)",781
105,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-105.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-105.nii,True,"(512, 512, 986)","(512, 512, 986)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.84375, 0.84375, 0.699999988079071)","(0.84375, 0.84375, 0.699999988079071)",986
106,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-106.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-106.nii,True,"(512, 512, 771)","(512, 512, 771)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7289999723434448, 0.7289999723434448, 0.800000011920929)","(0.7289999723434448, 0.7289999723434448, 0.800000011920929)",771
107,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-107.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-107.nii,True,"(512, 512, 771)","(512, 512, 771)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7820000052452087, 0.7820000052452087, 0.800000011920929)","(0.7820000052452087, 0.7820000052452087, 0.800000011920929)",771
108,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-108.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-108.nii,True,"(512, 512, 856)","(512, 512, 856)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7289999723434448, 0.7289999723434448, 0.800000011920929)","(0.7289999723434448, 0.7289999723434448, 0.800000011920929)",856
109,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-109.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-109.nii,True,"(512, 512, 756)","(512, 512, 756)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7630000114440918, 0.7630000114440918, 0.800000011920929)","(0.7630000114440918, 0.7630000114440918, 0.800000011920929)",756
110,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-110.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-110.nii,True,"(512, 512, 816)","(512, 512, 816)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7200000286102295, 0.7200000286102295, 0.800000011920929)","(0.7200000286102295, 0.7200000286102295, 0.800000011920929)",816
111,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-111.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-111.nii,True,"(512, 512, 761)","(512, 512, 761)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7820000052452087, 0.7820000052452087, 0.800000011920929)","(0.7820000052452087, 0.7820000052452087, 0.800000011920929)",761
112,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-112.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-112.nii,True,"(512, 512, 751)","(512, 512, 751)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.6399999856948853, 0.6399999856948853, 0.800000011920929)","(0.6399999856948853, 0.6399999856948853, 0.800000011920929)",751
113,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-113.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-113.nii,True,"(512, 512, 836)","(512, 512, 836)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.781000018119812, 0.781000018119812, 0.800000011920929)","(0.781000018119812, 0.781000018119812, 0.800000011920929)",836
114,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-114.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-114.nii,True,"(512, 512, 846)","(512, 512, 846)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7820000052452087, 0.7820000052452087, 0.800000011920929)","(0.7820000052452087, 0.7820000052452087, 0.800000011920929)",846
115,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-115.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-115.nii,True,"(512, 512, 846)","(512, 512, 846)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7559999823570251, 0.7559999823570251, 0.800000011920929)","(0.7559999823570251, 0.7559999823570251, 0.800000011920929)",846
116,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-116.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-116.nii,True,"(512, 512, 908)","(512, 512, 908)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.7890625, 0.7890625, 0.699999988079071)","(0.7890625, 0.7890625, 0.699999988079071)",908
117,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-117.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-117.nii,True,"(512, 512, 836)","(512, 512, 836)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.6800000071525574, 0.6800000071525574, 0.800000011920929)","(0.6800000071525574, 0.6800000071525574, 0.800000011920929)",836
118,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-118.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-118.nii,True,"(512, 512, 427)","(512, 512, 427)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.744140625, 0.744140625, 1.5)","(0.744140625, 0.744140625, 1.5)",427
119,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-119.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-119.nii,True,"(512, 512, 461)","(512, 512, 461)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.84375, 0.84375, 1.5)","(0.84375, 0.84375, 1.5)",461
120,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-120.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-120.nii,True,"(512, 512, 424)","(512, 512, 424)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.744140625, 0.744140625, 1.5)","(0.744140625, 0.744140625, 1.5)",424
121,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-121.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-121.nii,True,"(512, 512, 463)","(512, 512, 463)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.794921875, 0.794921875, 1.5)","(0.794921875, 0.794921875, 1.5)",463
122,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-122.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-122.nii,True,"(512, 512, 422)","(512, 512, 422)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.689453125, 0.689453125, 1.5)","(0.689453125, 0.689453125, 1.5)",422
123,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-123.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-123.nii,True,"(512, 512, 432)","(512, 512, 432)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.748046875, 0.748046875, 1.5)","(0.748046875, 0.748046875, 1.5)",432
124,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-124.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-124.nii,True,"(512, 512, 407)","(512, 512, 407)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.69921875, 0.69921875, 1.5)","(0.6992188096046448, 0.6992188096046448, 1.5)",407
125,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-125.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-125.nii,True,"(512, 512, 410)","(512, 512, 410)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.712890625, 0.712890625, 1.5)","(0.712890625, 0.712890625, 1.5)",410
126,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-126.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-126.nii,True,"(512, 512, 401)","(512, 512, 401)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.6640625, 0.6640625, 1.5)","(0.6640625, 0.6640625, 1.5)",401
127,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-127.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-127.nii,True,"(512, 512, 987)","(512, 512, 987)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.771484375, 0.771484375, 0.699999988079071)","(0.771484375, 0.771484375, 0.699999988079071)",987
128,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-128.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-128.nii,True,"(512, 512, 654)","(512, 512, 654)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.78125, 0.78125, 0.699999988079071)","(0.78125, 0.78125, 0.699999988079071)",654
129,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-129.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-129.nii,True,"(512, 512, 338)","(512, 512, 338)",True,"('R', 'A', 'S')","('L', 'P', 'S')",False,"(0.705078125, 0.705078125, 0.699999988079071)","(0.705078125, 0.705078125, 0.699999988079071)",338
